source,index,published,published_date,location,title,text,author,written_by
Daily Pegasus,628,16/11/1998,16/11/1998 0:00,"ABILA, Kronos",MEETING OF THE REPRESENTATIVES OF POK WITH THE MINISTER OF KRONOS OF THE HEALTH,"Rhe representatives of the social activist group the protectors of Kronos (POK) solved at the beginning of this week with Will stop Nespola, minister of the health to discuss resolutions to the contamination of the water that has plagued Elodis from last years 90. ""This was a productive meeting,"" POK leader that Henk Bodrogi said.  ""The interest I animate myself greatly that the government is demonstrating in the suffering of the people of Elodis.  It looked itself to be very responsivo like our request to settle down well-taken care of doctor improved in Elodis, and invests the contamination responsible for so many of our diseases."" The POK formed in 1997 of a group of the action of the towns in answer to the contamination of the water supply of Elodis and of the resulting disease and to the deaths of local residents on subsequent the several years.",,
Daily Pegasus,647,27/4/1998,27/4/1998 0:00,,"ELODIS, KRONOS:  AID of one divides two of the SOURCE UNEXPECTED","This article is the second installation of a series of three parts that deals with the problem every greater time an anguish of the community, the criminal fact of the government, and the alarming influence of multinational corporations in the country of Kronos. I took for above with Henk Bodrogi in the city that made purchases in the warehouse of the hardware of Ferro to repair an broken tractor.  Bodrogi has cultivated the soybeans its whole life, like its father and his parents. I asked to him about its life in the farm. ""We have worked the Earth during long time - perhaps 200 years, perhaps a small piece more,"" Henk Bodrogi said to me as it chose on a package of per to us, looking for the right size.  ""On the years we have added some hectares here and there.  To us it maintains occupied."" Occupied it is an underestimation, as I found when I punctured to farmer wiry to say to me more. ""My wife obtains the raising of children and title to teach, then she will do a little something so that we eat for the lunch and we work next to me until supper.  When the children get school caretakers make their tasks, and we are all in the house most of the times by darkness."" ""We do this most of the days,"" he we added, ""with the exception of days of the adoration."" ""All we know one another one here,"" Bodrogi we explained whereas we go away. ""Most of the families they have lived here for the generations.  The first new people who came to the city were with that company of the gas that constructed the back part of some years."" I request Bodrogi if the business has been good. ""We made quite good recently until time.  The benefits were good and added cultivated area, or increased the equipment.  Then we began to have all this hardship with the harvests."" How, I it requested. ""The harvests are not producing as they have in the past.  It awhile took the figure towards, outside then one of the calculated officials of the city towards outside calling in a specialist of the water.  They proved when it they said that the water was contaminated."" Bodrodgi sighed, and with a glance surrounded in its eye thanked for he me by my interest and this it had to me to direct it the back home.I th anked for it I watched and to raise it in its car and head outside city. The specialist of the water turned out to be the international agency ""health for all"", an international agency with a mission to bring the healthy water to the communities caused sorrow by natural disasters, sketch and - coincidently - oil and development of the gas. I took for above with a representative of the health for all the following day.  Joclyn Reynolds is coordinating of the project for the ""health for all"".  She spoke to me on a call based on the satellites of her office of the field in Asia South-Eastern where she was efforts of the relevation of the creation which followed an earthquake. Ms Reynolds decided to speak me by some minutes between the meetings on its work in Elodis. ""A civil employee of the city on a problem we made contact with enemy whereupon they had with its local water.  In years of last agriculture one had collapsed, and the incidence of certain diseases and defects of birth had risen.  The potable water of Elodis comes from the river of Tiskele, like all the water to cultivate, so we looked for a source against the current.  We above find sources of the useless disposition of the production in <km> of the operation of GAStech by waters.  The tests demonstrated to stops levels of the benzene, the tolueno, arsenic of xylene, the lead and the selenium, among other toxins. "" ""These substances Can happen naturally"" I asked to him. ""Not in these amounts, and not this one suddenly.  The contamination of the underground water is generally the result of the human activity.  The pipes of GAStech are sending the polluting agents in a pool.  The toxins are forming plume subsurface that leaks in the river of Tiskele of which the residents of the drainage of Elodis its potable water and irrigation for the harvests."" ""You spoke with GAStech on this?"" ""Oh yes,"" she answered.  ""We thought at the outset that we gained the traction.  We solved several times with the representatives of GAStech, including one of ""the senior"" executives, Fluss hank.  It assured personally to us that GAStech would act responsible to provide material and financial aid towards efforts of the cleaning.  After a time, although, got to be clear that whereas Mr. Fluss was serious it was Sanjorge that makes the decisions.  It is evident that it [Sanjorge] does not have any interest in the well-being of the residents of Elodis, or the atmosphere."" Sten Sanjorge, the Jr, who had inherited his part in the company of his father in 1990, had developed a reputation for the practices of business of cutthroat. ""When we did not make progress with GAStech,"" Reynolds continued, ""the leaders of the community decided to approach the government of Kronos for the aid.   By our policy - and with the permission of the leaders of Elodis - we published the test results in an official public document.  The leaders of then Elodis approached the officials of the government like citizens of a community of Kronesian armed with the scientific analysis.  To our he assured them agency that we would be again available to help anyway when those agreements were concluded. "" To this point the Reynolds far from the telephone called ms, so I returned to my friend of the editor, Pondo Reese to tell to end history. Part three will be published the 15 of May of 1998",,
Daily Pegasus,700,22/6/2013,22/6/2013 0:00,"ABILA, Kronos", THE WHO BRINGS A WEAPON TO SEATING INSIDE?,"Yesterday, because they have each 19 of June by last the three years of those in favor of the reunited protectors of Kronos demanding much just as they are in the last fourteen years old:  a end to the corruption of the officials of the government of Kronos and the cleaning of the toxic sweepings unloads that it has become the river of Tiskele near Elodis. The meeting that happened in several places through the city, including in front of publically-had home of president Kapelou and the capital building of Abila.  The citizens collected to hope that their voices would be heard by their chosen civil employees. They distributed the information on the printed aviators and donated by local businesses on the incongruencias of the form of life between the chosen civil employees of today and he does of some years. The demonstrators maintained the posters of martyrs of POK and sang for the social and economic parity, whereas the members black-had with the police of Abila formed lines faceless of the protectors, the command batons and the lateral arms surrounding to the crowds. On each one the mind was the question:   Who brings a weapon to a Pacific feels inside?  The meeting had been published like pacific meeting of citizens to bring its preoccupations to the public sense.  The most dangerous article of its hands was a picture dead girl sweet-faced of ten years of old - a Julian Vann that died in 1998 of the cancer caused by the benzene in its potable water. So that the government of Kronos felt the necessity to send to police squadron of the gross one? In spite of these severe efforts, as the people groups slid through the barricades and they moved through the streets to bring his message to the citizens of Kronos.  The aviators who brought messages of the truth and justice were lazy in banks of the park, cafes and slight posts. How can these civil employees - hypothetical obtaining close in pays public - be allowed the second the great homes, boats and the automobiles of luxury that boast of?",,
Daily Pegasus,72,1/6/2000,1/6/2000 0:00,"ELODIS, Kronos",LEAF OF THE FACT OF THE PUBLIC HEALTH OF ELODIS - UPDATE,"The environmental consequences of the hyperactive acid retirement of the substratum (HASR), a technique that perforated controversy have taken an enormous toll in the health from the residents of Elodis.  An update to health 1998 for all the report soon will be fixed to the municipal Web site of Elodis. Highlights: * The levels without toxin precedents were found in the water supply, including fenol, the acetic anhydride, the lead, and the ethylene glycol. * The incidence of the chronic disease increased on 89% as of previous years * The unusually high incidence of the cancer became so referring to that minister of designated the Nespola health a specialist from the oncology to the general hospital of Abila .",,
Daily Pegasus,748,4/2/1993,4/2/1993 0:00,"ABILA, Kronos",DEFICIENCY OF THE INTENTIONS OF THE MARS GOVERNMENT OF THE DETAILS,"In a president glitzy Luis Araullo of the press conference behind schedule announced the last year an historical system of fiscal incentives anticipated to bring the foreign investment to Kronos under way that created works, providing cheap energy and constructing the infrastructure.  After the vote the 86-14 month last the minister of inner the Sarto Takings praised the decision like the ""signal"" and ""to improve people"". We will see.  Crafters of these revolutionary measures neglected to include a detailed plan on how this unexpected gain would benefit daily Kronosians.   When the first payment of these foreign company lands in the boxes of the state, how these bottoms will be dispersed? One is asked: The 14 who opposed the measurement felt the same way?   Also was asked exactly how this money would be concentrated in the education, improvements in ways, utilities and healthcare? The calls to the offices of the president were not returned.",,
Daily Pegasus,760,7/4/2005,7/4/2005 0:00,"ELODIS, Kronos",POK PROTESTS THE END IN HALTINGS,"To the federal police of Kronos they arrested fifteen members of the protectors of the organization of the activist of Kronos (POK) that followed yesterday a conflict in the doors of the facility of GAStech of the curve of Tiskele. The demonstrators arrived pre-dawn at the arms from lock and traffic from the stop that left and that incorporated of the facility.  Per local time of 8, the traffic had endorsement in both sides of the doors.  Shaking itself, the demonstrators sang well-known songs of the protest, including ""this are our earth"", ""songs of the farmer"" and ""the weavers of our mother country"" When the federal police began to arrest the POK demonstrators, he moved in a way ordered in the van of the police that waited for, singing the whole time.",,
Daily Pegasus,773,10/4/2012,10/4/2012 0:00,"ABILA, Kronos",MEETING TO PROGRAM IN SUPPORT OF INCREASING RESPONSIBILITY OF THE GOVERNMENT,"Silvia Marek, leader of the protectors of the social organization of the action of Kronos is repealing the citizens of Kronos to assemble it by a day of the pacific protest morning.  Marek requests that all the citizens assemble at issue it to bring knowledge to the problem of penetrating the political corruption and favoritism in the offices of the government of Kronos. ""I am calling for an end to the atrocious corruption, the nepotism and favoritism exhibited by our chosen civil employees.  [The civil employees] need to hear our voice and knowledge that now we demanded the change. The meeting will be held in the park of the city of Elodis at noon.",,
Daily Pegasus,791,21/8/1998,21/8/1998 0:00,"ELODIS, Kronos",OF TEN YEARS OLD  OF THE GIRL OF ELODIS OF THE  POISONING DIES,"Of ten years - old Julian Vann died yesterday in the evening, surrounded by their family and friends.  The cause of the death was leukemia due to the poison of the benzene. Julian he had been ill by on a year.  Her family did not make initially that the poison of the benzene was the cause of the problems of Julian.  After visits to many hospitals, a doctor was associated to the international health of the organization of the recommended aid for all the Julian one is tests for the poison of the benzene.  In that point, nevertheless, the system of the small girl was also damaged to recover. The residents of Elodis have been pleading for with the government of Kronos taking the action against the contamination caused by the operation that hardly perforated of the gas of GAStech 20 kilometers against the current of Elodis. The death of Julian is but one of several deaths that this rural municipality has suffered due to the toxic sweepings that was unloaded in the river of Tiskele by the corporation GAStech de Tethys. Thefuneral services will be carried out the 21 of August in the family home.",,
Everyday News,147,24/2/2013,24/2/2013 0:00,,GAStech,"It is the biggest company of Kronos, the third bigger company of the gas in the planet, and is years of fifty-three. In the past it has had a corrupt reputation like and environmentally harmful, but nowadays GAStech, the previous business of Tethys-only, is trying to gain the confidence of international investors. This form the part of its ambitions to extend its gas that provides with the beneficial business outside the Mediterranean region. It is an ascending task, and there is no certainty that Gastech has the capacity to convince potential investors that it has repaired his ways, and it is rooted not more in the past echo-hostile. The operations of the pipe of GAStech are based on Kronos of the east, and is near relation with the government of Kronosian. This one is the heart of the business of the pipe of Kronos, where the gas of the gas fields of the east settles tubes to the west towards the rest of Kronos, Tethys and Europe. GAStech does more than as soon as the gas of the pump. It has created cities and cities to maintain his operations, that it handles and it works almost single-giving. The head of GAStech, Sten Sanjorge, Jr, that photo watches fixedly towards outside calendars and of marks throughout in the country, recognizes ""state inside the accusations of a state"", but she discusses that the necessities of the company simply to take care of his workers and of the communities around them. By all means, to populate the good reasons with the necessity to come and to work in the hostile remote regions of Kronosian. They provide medical aid, the hospitality, and the food. The empire of GAStech has 2 thousand cows and 3 thousand pigs in its farms of the company, it works gyms, and it offers subsidized holidays in the resources of the Black Sea for the dominant employees. For the executives, it works a state extreme extra, a medical center and of the marble-aligned therapy. In addition to all these allowances, there is also the station of GAStech TV, that does not even pretend to be impartial. It is there serving the will as the company. It looks like as soon as the picture of a modern global company, as most of those have unloaded little ceremonious their ""activities of the not-heart"". There is a discussion, nevertheless, that the business of the energy is different from other industries, requiring the corporations of the energy to work of different ways. Working in remote places without previous means of the infrastructure to lubricate and the sites of the gas they will be always, until certain point, cities of the company. GAStech makes certainly an effort to assure its employees can move inside and outside these locations working a deprived fleet of four planes to ferry across to its personnel the enormous distances between the sites.",,
Everyday News,2,16/11/1999,16/11/1999 0:00,,Global boxes of the charity of dren of the disasters,"The new pleas campaign in the horizon to maintain liquidity. The agencies of the aid have noticed that the monetary necessities and of the food have increased everywhere and that they can not be able to solve basic necessities. The office of the O.N.U for the coordination of humanitarian subjects says that 15 million people of remain needing vital merchandize and services, because the number and the severity of crisis have given rise to a deficiency of the ""food, healthcare, and the access to sustenances."" A new group of the aid, Singapur THAT TOOK CARE OF has formed recently in answer to the conflict in Kosovo.  The Dr Jayala Mahmed could not find an organization existing to sponsor it to offer voluntarily his medical services there.  Singapur THAT TOOK CARE OF has sent five missions to Kosovo to provide movable medical aid.  Also they have sent a effort of the mobilization of bottoms in collaboration with the governments of Malaysia.  ""We are stopped ready to help, but the financing is difficult to find,"" the indicated Dr Mahmed. ""As much it is necessary but as much it has been last already."" They damaged to thirteen people Tuesday in Izmit, Turkey, as people filled up a convoy of the relevación of the government, the civil employees this.  They absolutely fear 20,000 earthquake people both that have happened east year.  Singapur THAT TOOK CARE OF has sent to equipment from the relevación to Turkey. Still, the organizations of the aid stretch to their limits.  Health for all the attended medical equipment of the emergency ad hoc during the earthquake of September in central Taiwan that measured 7,3 in the scale of Richter.  ""The answer of the equipment of the emergency was impressive, but not coordinated,"" it indicated a health for all the spokesman.  ""Never éramos insurances they directed if us to the most desperate locations.  Soon we worked of medicines and bottoms to support our equipment of the aid and had to return to house.""  Whereas the disclosed global press on 2500 people was killed and 100,000 buildings were destroyed, the local press disclosed people felt they correctly took care of that it for and declined aid of the relevación. The global report of the organization of the disaster of the emergency its members is making all she be able to obtain the aid to traverse to the victims of the earthquake, but they need enormous injections the bottoms to do so. Cord of Jim, of the FoodSupport charity of the relevación of the disaster these times ""I think that the deficiency of bottoms is responsible for an increase of attacks against the convoys of the food, therefore dissuading many of agencies of the aid to obtain inside there.""",,
Everyday News,200,26/3/2014,26/3/2014 0:00,,4 of March of 2010,"It is the first incident of his class in the history of the famous race of boat of the world, in which the yachts around the Mediterranean coast compete for the gold cup coveted. The presidential boat, had by the family of present president Karel Kapelou II of Kronos, began to take in the water and disappeared slowly in the sea. Cold Most of the equipment entered the boats of the rescue, whereas other that decided to swim to the border described it like ""cold"". Shortly after the presidential container perceivably was caused sorrow, a boat of small motor hurried forwards and backwards between the boat and to shake of the crowds of the coast the ""protectors of Kronos"" they indicate to offer by means of a flag its white emblem of the hand.  It is not known if the group were implied with the incident of the boat, although extensively recognize the group like getting to be more and more violent in its protests against the government. The equipment rejected to blame the captain of the boat, 41 years Petra Hohimae, that are well to the current of waters of the line of the coast of Kronos. One hopes that the race is cancelled although there has been no official word. The investigations to the presidential office have not been answered. They disclose the equipment to have only suffered injuries of smaller importance during his abandonment and to have avoided the contact of the press. One hopes that the ball of the finery of the cup of Kapalou is cancelled tonight, although many international dignitaries and celebrities remain in the country.",,
Everyday News,201,23/2/2009,23/2/2009 0:00,,"The protectors of Kronos de Kronos declared ""group of the terrorist""","<<Deleted image: POK has celebrated numerous demonstrations in the capital of Kronos de Abila>> To continue reading main history The government of Kronos has declared the protectors of Kronos that a terrorist groups after blaming it by a mortal attack against headquarters of the police at the beginning of this week. Several of their those in favor have arrested themselves in an energetic measurement. A POK leader made vote that the protests would continue. The spokesman Rufus Drymiau of the government announced the movement, that will give to authorities more energy to crack itself down in the POK. He said that those that belonged to the group they financed, it or they promoted its activities would face the punishment. To continue reading main history The protectors of Kronos The oldest and greater of the activist environmental organization of Kronos Founded on 1997. Influenced by the international groups such as health for all Mixture political activism with the environmental work Use of the rejections of the democratic principles of the violence and the aids Motto: ""Justice for Julian"", a reference to 10 years - the old girl of Kronosian that the government died as resulting from sponsored the contamination of environment The decision was in answer to the bombing of Tuesday of the headquarters of the police in Abila, he said. ""Kronos was horrified of the north to the south by the horrible crime trusted by the POK,"" Mr. Drymiau this. ""This was in context of the dangerous scaling to the violence against Kronos and Kronosians and of a clear declaration by the POK that does not know to anything but violence. ""People to put under the POK terrorism are not possible for Kronos the state nor Kronos."" Kronos would notify Tethys that had signed a treaty 1998 of the against-terrorism of the decision, he added. Those in favor of POK The POK has denied the being responsible for the attack, and has accused the government of Kronos to carry out mark-for above silencing the preoccupations of the groups by people. A member of POK said to times that the decision of the government was ""ilegítima"". He added: ""The protests will continue, certainly.""",,
Everyday News,214,3/10/1982,3/10/1982 0:00,,Central paper of the center in the industry of the gas of Tethan,"The world of the gas distant, difficult and is thrown far. In Tethys some years ago, I traveled laborious to the gas fields moved away of Tethys to watch a new debatable area of the energy production. One of the sites that I visited was a local office of the company of the gas of Sanjorge, finessed with the shippers of the work and the reinforced covers and the chemical agents and the sources you need to work an operation of the gas. Like it memory, a previous truck driver was responsible. It was an alive example of how a once small reconnaissance company of Thethys had begun to grow in a powerful international force in the industry of the energy. But it had forgotten to me on the encounter until I again went to Tethys the other day for the first time from its years, to reacquaint with the man who created the business, Sten Sanjorge: a man (one of the richest individuals of Tethys) who has lived with the whole history of the gas that prospected and has prospered powerfully of him. But like I was around the capital city of the people who entrevistaba with of the center, soon I made that this was not right a history of the new energy. Something very significant has happened to give return to the center in a global center of the masters of the industry of the gas. Of what it is developed in the capital city are important lessons for other places blessed (and it cursed) with the abundant natural resources. The ""center developed masters of the class of the world in directing in the very difficult environs"" When it was newspaperman young in the daily file in Glasgow at the beginning of years 70, the great attacks coast outside of the oil began in the North Sea. Then it looked like a pretty impossible dream, giving returned to an island of the coal in a place with the abundant sources of the oil and gas. It was looked like us in the coast of the west of Scotland that the city far thrown of the center, Tethys was able to great small piece for its shippers, beginning to believe in a new industry of the fantasy. Much to the grief of its mother, meanwhile, Sten Sanjorge had begun the prospection in early years 60. By early years 70, a new company of the gas, GAStech, began his monster-like advances. Under its direction canny, GAStech was developed in an important jet of the natural gas to the local region, and later it foments much to the distant spot. Now it has employees of the thousands and it works in numerous countries. The change in center has been substantial.  You notice in the constant uproar of helicopters to-Ing. and fro-Ing. towards it go to the moved away areas, and the planes aligned in the airport of the city to backwards go and execs forwards and of the city. And as you lead around the center, almost each traffic circle is sponsored by a division of GAStech. Sanjorge has recently begun to pay more attention to the pastimes and philanthropy, allowing that its Fluss hank of the Jr and the Co-founder of Sten of the son directs the company. But Sanjorge finishes requesting itself to produce a report for the government of Tethan that recommends the best ways to make sure that Tethys continues producing the energy per decades to come. The matter of easy-to-obtaining has taken place, so to keep to come from the gas it will need much investment and new readier techniques, such as the hyperacid techniques of the retirement of the substratum developed by the company in 1974. It so thanks for ready people as Sten Sanjorge and the people who work with him, center has reached what wishes each place in where the raw materials are discovered to do. The city has taken the temporary favor from the energy in its threshold, and it has given to return in the specialized knowledge and the intellectual characteristic him that can make center a center of masters of the long gas after the gas itself works towards outside.",,
Everyday News,234,21-Oct-13,21/10/2013 0:00,,26/3/2014,"Interpol has announced the formation of a detachment of forces of the new multi-country to fight the more and more ample distribution of cathinone of methyldimethyl of the drug (MDMC).  To direct the detachment of forces is inspector greater Loblaw Robert, official of the veteran who lead very to guessed right equipment of Tethys Counterdrug.  He is optimist who he can identify the source. ""These drugs of designer have certain tracks as far as their origin,"" Loblaw these times in an interview.  ""Whenever the prescription changes, it leaves tracks as far as it did whom it.  It is like a pedigrí."" This particular mixture of drug MDMC, also known by its street names the ""caramel of cotton"", the ""spice soña"" and the ""flower of tulip"", was found previously only in Asteria but it has made his way to the streets of Tethys and other international countries. ""I will hardly watch the activities of the army of people of Asterian,"" Loblaw this.  ""Our previous investigations indicated to them like the source of this particular formulation."" The army of people of Asterian (APA) is an organization paramilitary that has been contracted the financed activities of the terrorist with its criminal companies, that include drug traffic.  These last years the APA has tried to construct to their trade name with Web site and the publication of a professional compartment, of high called quality ""Arise"". Inspector greater Loblaw says the public statistic of Tethys indicates that MDMC is a problem every greater time with the youth of the country.  ""An increase in mental problems of health, including the hallucinations and the paranoia, accompanied by violent behavior and an increase marked in tariffs of the suicide are only some of the indicators of the use of this drug of designer."" ""In the first place we have alerted to harbor civil employees to be in the observation post for the suspicious shipments of insecticides and detergent, both similars in aspect to MDMC.""",,
Everyday News,332,19/3/2007,19/3/2007 0:00,,Four people have died in a crash of the way near Elodis,"Of nine years - the old boy survived initially the crash and had been flown to the hospital of the children of Abila, but he was declared dead in arrival. The police says that it has a driver of the car of 25 years in safekeeping in the jail of Elodis. The officials say a car exploded in the flames after hitting a car of GAStech  moments before 9AM (KDT). An equipment of the identification of the victim of the disaster of Kronos was sent to examine the rest. Auxiliary commission Fixes Koppolis of the police described the scene like ""horrific"". He said the one of nine years - they found to the old boy wandering around the site of the accident. ""He is tragic that survived nobody in last instance.  The ways towards outside can here be treasonous when you are not constantly watchman whereas she leads,"" he said. It observed that the car happened in the intersection when the car had the right of the way.",,
Everyday News,343,21/6/2012,21/6/2012 0:00,,The police of Abila breaks itself for above will seat dice returned violent in presidential,"The traffic around the city as fight of Abilians to be able to work in the middle of vandalism and of the sacking. At the beginning of the Tuesday police stormed the front of the presidential mansion and the capital building, breaking itself upon seating inside by the protectors of Kronos. Other groups of the activist have assembled the faction of protest in solidarity and one more a greater meeting was predicted for later inside the day. The government of Kronos of the conservative used an emergency law to threaten protestors the halting unless they dispersed and they returned to the work.  The row is excessive environmental editions that the POK maintains to the government and the giant international person in charge of GAStech of the gas. The meetings had begun, despite more destructive activities have extended as the crowds made more anxious. The samples between the demonstrator called for the change of the government and the social equality.  The images of Julian Vann, the girl of 10 years who dies of diseases attributed to the international industrial giant of GAStech served like points of the meeting. The people who direct to a favorable-government accountant-reunite was attacked by POK those in favor, and last shots were ignited. Tuesday was the third anniversary of the mysterious death of Elian Karel, popular leader of the POK that died in the prison. More ahead in the day, which had been a pacific demonstration to a great extent given violent return when the crowd began to destroy to the buildings of the government and the presidential farm. A group of protestors more young people attacked the vehicles, sensational windows.  Injuries of smaller importance were disclosed. The reinforcements of the police were sent to the area and blocked the roads, and the skirmishes between the police and protestors exploded. The police used the tear gas to break for above to the unmanageable crowd.  The spokesmen of the government complemented the forces of the security for their direction of the ""groups of the criminals"" who interrupted.",,
Everyday News,387,23/6/2009,23/6/2009 0:00,,Profile:  Elian Karel,"<<deleted the image of Elian Karel that spoke in a meeting in Abila>> The voice of the protest for some, demagog for others, protective of popularist of the leader Elian Karel de Kronos became martyr and a point of the meeting for some; a figure of the disdain and rabblerousing for others, and a political preoccupation to the government of Kronosian, within a filled year event, accentuated by its suspicious death Friday. The leader of an environmental group forbearant of the activist, Karel had begun a trade name of the policy all his the own ones, that drove the POK in the projector of this nation of the island. Supplied of fuel by a displeasure every greater time with the severe government of Kronosian, he began to lead the POK in a action-based organization, instead of whom he hoped his government to do aright of the things. Reviving the live coals of the Julian Vann campaign, the girl of 10 years who died of the diseases attributed to the industrial useless currents of the government-favored corporation of GASTech in 1998, Karel was arrested and sent in the jail that follows an POK-initiated human barricade in front of the headquarters of GAStech in May. Karel died Wednesday whereas it served time in jail. The government of Kronos rejects the commentary on the circumstances of his death. Something charismatic, Karel could inspire to a crowd and draw the attention to the social and political agenda of POK.   Once, after the Jr of the CEO Sten Sanjorge de GAStech compared the POK to a group of the terrorist in an interview of the press, Karel quipped, ""Sanjorge is a leader shining of GAStech.  You know because he takes to a scale with him the supermarket?  He heard that the prices of food in Abila are really high."" Nevertheless, its capacity to hook in last instance with the intimidated government of Kronos never had been clear.  She is also confused who will now take its layer in the POK goes that it.",,
Everyday News,460,21/1/2014,21/1/2014 0:00,,Kidnapped employees of GASTech in Kronos,"Fourteen employees feared kidnapped in Kronos for radical an environmental group of the terrorist during a corporative meeting. They fear fourteen employees, including possibly to five executive officials, kidnapped yesterday by the ""protectors of Kronos"".  The disclosed disappear include: President and CEO Sten Sanjorge Jr, CFO Ingrid Barranco, Ada Campo-Corrente, COO Orhan Strum, and environmental official Willem Vasco-Pais. The local organizations of the news have received a note of the rescue of the responsibility that she demanded and to demand of POK $20 million of the company.  It is possible additional demands is next. Sanjorge and the others disappeared following a meeting of the Council in the headquarters of GASTech.  A fire alarm was extinguished, and execs disappeared shortly after discovered that one.  The complete list of all the missing employees has not been sent. Juan Rathburn, American expert in the executive kidnappings that are living in Tethys, says that Kronos has not been known as country archetype for the kidnapping. ""Nevertheless, the increasing activity by POK, APA [army of people of Asterian], and others in the region have increased perceivably the risk."" The corresponding times in Abila say that the offices of GASTech are closed, and the telephone calls are only answering the referred local authorities. The corporative headquarters of GASTech in Tethys have rejected to comment. Nevertheless, other sources of the news have disclosed to Tethys federal civil employees of the application of law and the personnel of the ministry of Tethan of outer subjects has arrived in Kronos to attend police in the investigation.",,
Everyday News,496,5/5/1984,5/5/1984 0:00,,The pioneer of the gas of the slate plans first wells outside coast of the world in the Mediterranean Sea,"<<Deleted image: Demonstrator whom it perforates of Anti-offshore.  The exploration has proven an controversial edition in Kronos>> To continue reading main history The son of the founder of the company of the gas that GAStech is planning a company to perforate inside the Mediterranean Sea, the times has learned. Sten Sanjorge, Jr thinks that there are the great volumes of gas coast outside that could be extracted. Sanjorge and GAStech were granted to three licenses by the government of Kronos the month last through the ministry of the energy and the development and hopes to begin the exploration soon. ""The gas certainly coast outside is not a new concept, but there is no reason with the history of Kronosian of the development coast outside that we cannot develop to these resources coast outside,"" he said the times. The gas of the slate is extracted using the controversial technique of the hyperacid retirement of the substratum that implies injecting of acid layers of the slate of chemical agents, to break them for above and sending the catched natural gas inside. The hyperacid retirement of the substratum has produced the extensive amounts of gas and oil in the one of the west, having transformed the market of the energy. But the projects in Europe have been slow to remove, surrounded with the opposition of the government and local communities. Many ecologists think that the hyperacid retirement of the substratum can damage marine atmospheres, and oppose the extraction of the new resources of the fossil fuel. But perforating coast outside avoids the necessity of the difficult negotiations with the local advice, communities and landholders. In agreement with existing geologic data, SanJorge thinks that a considerable amount of gas is in the place - up to 100 cubical feet trillón, that would be more than the estimations of GAStech for their terrestrial resources. There is also the possibility of finding the oil. GAStech has considered that the resources coast outside of the gas of the slate of the total of Kronos could be between five and 10 times the terrestrial size of the available one of the resources. ""We are that the resource is there and the numbers are absolutely ginormous,"" said very comfortable SanJorge.  ""Is anyone of that one explotable? That one is billion questions of the dollar, and GAStech wiling to invest in the answer."" Although it has gotten to be only recently controversial, the hyperacid retirement of the substratum has been used in one more a smaller scale by many years, to improve the gas and conventional well flow of the oil. But to use the process in a great amount of needed wells to extract the gas coast outside of the slate never has been made commercially. Professor Oskar Wertz of the university of Tethys is skeptical around if the gas coast outside of the slate could be a great contribuidor to the European energy in the next decade, but says that he could have potential in the one of more long term. ""GAStech is being optimistic is its estimations of how long will take to explore the slate outside coast. He is perfectly reasonable that in 20, 30 or 40 years, the hyperacid technology of the retirement of the substratum will have so advanced and the way of which we took care outside of the ambient coast we will have so advanced that this could be a really great industry. The task in the 10 next years is to try these things towards outside, considers if they work.""",,
Everyday News,608,13/11/2013,13/11/2013 0:00,,The protests of Kronos explode in violence,"Journalist Shawn Pastorini says that the ""deficiency of the respect"" is supplying of fuel the protests << to continue reading main history >> The demonstrators in Abilia, Kronos have fixed the fire to the buildings of the government, in another round one of the malaise in this torn city They have damaged to the dozens of people in the perceived corruption excessive of the government of the protests and the perceived incapacity of politicians to improve the situation. To clean to the bullets and the tear rubber gas used to calm malaise in the capital Abila. The black smoke could be to come sight from the compound of the presidency in Abila. << to continue reading main history >> Protectors of the spokesman of Kronos indicated ""in Kronos the inheritances of the environmental negligence and the deficiency of the preoccupation by means of people that little uniform hope of the change more. Therefore, the rage simmering per years, but now has boiled the excess"" To clean the used water to disperse to the demonstrators who sent stones in the building. There were also information of storming tried of the office. ""To populate the protest because they are suffering, because they do not have medical aid. We demand the government we resigned,"" Terek Kamal, a driver of the car, said the times. The malaise began in previous Abila in the week, with protests on the dismissal of several employees of Kronosian of international giant the GAStech energy.  GAStech has its roots in Tethys, although many directors live in Kronos. This one appears to be a case of the frustration simmering that it boils above. The administration is highly of support of GAStech and its rent of tax to the boxes of the government - it looks like yet not to pay attention of any edition pressing but to its own packages on-means of the payment. The environmental situation is desperate. The hundreds of rural citizens are suffering the important diseases caused apparently by the exhibition to the useless currents of GAStech, although this one has not been verified civil employee nor recognizes by the company or the government. That is what sparked the initial protests in Abila - but empathy with its cause brought demonstrators towards outside in cities through Kronos.  Initially pacific, these protest are more and more violent now, and take to the police and to the citizens in sometimes fatal shooting. They quote president Dorel Kapelou II of Kronos then saying he would be summoning an urgent meeting of the superior direction to deal with the ""threat the terrorist"" in the country.",,
